District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females
10,20,0,8,135730,68150,67580,63520,46860,16660,10400,1310,9090,61810,19980,41830,450,150,300
10,20,0,9,56910,28150,28760,11910,9670,2240,2790,770,2020,42210,17710,24500,360,120,240
10,20,0,10,24690,11910,12780,2540,1950,590,660,210,450,21490,9750,11740,220,120,100
10,20,1,0,608289,313448,294841,5620,3840,1780,600,340,260,602069,309268,292801,8000,4050,3950
10,20,1,1,267942,142812,125130,36212,30272,5940,2440,1490,950,229290,111050,118240,5720,3500,2220
10,20,1,2,298319,154352,143967,111669,93731,17938,4988,2940,2048,181662,57681,123981,6680,4260,2420
10,20,1,3,274465,140055,134410,148181,123591,24590,3654,1444,2210,122630,15020,107610,3190,1670,1520
10,20,1,4,230358,124093,106265,143428,117663,25765,2590,820,1770,84340,5610,78730,1430,560,870
10,20,1,5,207577,110410,97167,130870,105540,25330,2347,570,1777,74360,4300,70060,1100,290,810
10,20,1,6,280541,157341,123200,180642,149240,31402,2860,730,2130,97039,7371,89668,1150,440,710
10,20,1,7,162002,87202,74800,85450,71850,13600,1552,642,910,75000,14710,60290,800,180,620
10,20,1,8,106030,53600,52430,22430,18370,4060,1150,490,660,82450,34740,47710,780,370,410
10,20,1,9,41766,20866,20900,4720,3980,740,280,90,190,36766,16796,19970,400,230,170
10,20,1,10,17120,8390,8730,1550,1300,250,50,20,30,15520,7070,8450,130,70,60
11,24,0,0,495944,254520,241424,14000,6720,7280,9700,1740,7960,472244,246060,226184,1210,700,510
11,24,0,1,194080,105580,88500,54200,32830,21370,21490,3070,18420,118390,69680,48710,3790,3100,690
11,24,0,2,173469,80479,92990,92758,57608,35150,26150,1540,24610,54561,21331,33230,4901,4111,790
11,24,0,3,158281,68358,89923,104054,64028,40026,24405,530,23875,29822,3800,26022,1590,1270,320
11,24,0,4,136550,59410,77140,96810,57740,39070,19810,260,19550,19930,1410,18520,450,360,90
11,24,0,5,132250,59840,72410,96280,58810,37470,19120,270,18850,16850,760,16090,260,180,80
11,24,0,6,219784,103360,116424,161334,100810,60524,31050,400,30650,27400,2150,25250,160,90,70
11,24,0,7,169087,82867,86220,114320,78710,35610,24057,407,23650,30710,3750,26960,80,60,20
11,24,0,8,120657,58677,61980,55530,42970,12560,12540,930,11610,52587,14777,37810,170,120,50
11,24,0,9,53120,26060,27060,12740,10680,2060,2500,430,2070,37880,14950,22930,90,60,30
11,24,0,10,22990,10910,12080,2550,1840,710,600,100,500,19840,8970,10870,20,20,0
11,24,1,0,72249,38966,33283,640,500,140,120,40,80,71489,38426,33063,160,70,90
11,24,1,1,34341,19121,15220,4420,3770,650,360,110,250,29561,15241,14320,800,600,200
11,24,1,2,30948,15988,14960,10453,8793,1660,530,160,370,19965,7035,12930,1620,1090,530
11,24,1,3,26863,12643,14220,13393,10893,2500,410,80,330,13060,1670,11390,580,420,160
11,24,1,4,23260,11506,11754,13139,10817,2322,389,49,340,9732,640,9092,260,140,120
11,24,1,5,22388,11060,11328,13038,10630,2408,410,30,380,8940,400,8540,100,20,80
11,24,1,6,32651,17380,15271,20570,16570,4000,491,40,451,11590,770,10820,150,90,60
11,24,1,7,20146,10300,9846,10626,8930,1696,250,70,180,9270,1300,7970,80,10,70
11,24,1,8,13194,6250,6944,3690,3080,610,250,60,190,9254,3110,6144,0,0,0
11,24,1,9,6170,3140,3030,950,850,100,60,10,50,5160,2280,2880,10,10,0
11,24,1,10,2230,1200,1030,290,250,40,30,20,10,1910,930,980,0,0,0
12,23,0,0,384337,196498,187839,12130,7100,5030,6740,1050,5690,365467,188348,177119,2460,1370,1090
12,23,0,1,141580,78620,62960,46190,32520,13670,15450,1500,13950,79940,44600,35340,1160,810,350
12,23,0,2,142144,72190,69954,80440,56880,23560,20834,1170,19664,40870,14140,26730,1010,750,260
12,23,0,3,131640,61180,70460,85750,57880,27870,20070,520,19550,25820,2780,23040,480,340,140
12,23,0,4,118161,56162,61999,82082,54672,27410,17330,240,17090,18749,1250,17499,210,50,160
12,23,0,5,111209,54905,56304,79029,53745,25284,16220,190,16030,15960,970,14990,180,10,170
12,23,0,6,183631,91251,92380,130439,88839,41600,25290,430,24860,27902,1982,25920,190,20,170
12,23,0,7,133661,69061,64600,87917,65277,22640,17263,443,16820,28481,3341,25140,150,90,60
12,23,0,8,94903,49140,45763,42823,35180,7643,8720,650,8070,43360,13310,30050,250,120,130
12,23,0,9,45360,23550,21810,10410,9290,1120,1990,360,1630,32960,13900,19060,190,90,100
12,23,0,10,19615,10380,9235,1610,1400,210,480,170,310,17525,8810,8715,110,70,40
12,23,1,0,110600,57798,52802,1590,1190,400,230,100,130,108780,56508,52272,980,570,410
12,23,1,1,48497,25100,23397,7996,6690,1306,1187,429,758,39314,17981,21333,540,290,250
12,23,1,2,50389,25186,25203,19833,16430,3403,1410,360,1050,29146,8396,20750,550,310,240
12,23,1,3,44506,20924,23582,22724,18634,4090,1320,190,1130,20462,2100,18362,300,70,230
12,23,1,4,39201,20341,18860,23709,19419,4290,1322,152,1170,14170,770,13400,100,30,70
